state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,1
California,1
Colorado,1
Connecticut,1
Delaware,0
Florida,1
Georgia,1
Hawaii,0
Iowa,0
Idaho,0
Illinois,1
Indiana,0
Kansas,0
Kentucky,0
Louisiana,1
Maine,1
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,1
New Mexico,1
Nevada,1
New York,2
Ohio,0
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Virginia,1
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,0
